year,date,survey_day,size_class,count
1988,1988-07-13,1,0-30cm,349
1988,1988-07-13,1,30-50cm,203
1988,1988-07-13,1,50+cm,46
1988,1988-07-14,2,0-30cm,242
1988,1988-07-14,2,30-50cm,234
1988,1988-07-14,2,50+cm,48
1988,1988-07-15,3,0-30cm,227
1988,1988-07-15,3,30-50cm,268
1988,1988-07-15,3,50+cm,31
1989,1989-07-17,1,0-30cm,533
1989,1989-07-17,1,30-50cm,364
1989,1989-07-17,1,50+cm,144
1989,1989-07-18,2,0-30cm,813
1989,1989-07-18,2,30-50cm,646
1989,1989-07-18,2,50+cm,191
1989,1989-07-19,3,0-30cm,443
1989,1989-07-19,3,30-50cm,402
1989,1989-07-19,3,50+cm,163
1990,1990-07-16,1,0-30cm,250
1990,1990-07-16,1,30-50cm,122
1990,1990-07-16,1,50+cm,41
1990,1990-07-17,2,0-30cm,383
1990,1990-07-17,2,30-50cm,163
1990,1990-07-17,2,50+cm,60
1990,1990-07-18,3,0-30cm,319
1990,1990-07-18,3,30-50cm,90
1990,1990-07-18,3,50+cm,53
1991,1991-07-15,1,0-30cm,224
1991,1991-07-15,1,30-50cm,145
1991,1991-07-15,1,50+cm,31
1991,1991-07-16,2,0-30cm,330
1991,1991-07-16,2,30-50cm,196
1991,1991-07-16,2,50+cm,89
1991,1991-07-17,3,0-30cm,147
1991,1991-07-17,3,30-50cm,130
1991,1991-07-17,3,50+cm,62
1992,1992-07-13,1,0-30cm,404
1992,1992-07-13,1,30-50cm,113
1992,1992-07-13,1,50+cm,45
1992,1992-07-14,2,0-30cm,615
1992,1992-07-14,2,30-50cm,135
1992,1992-07-14,2,50+cm,63
1992,1992-07-15,3,0-30cm,290
1992,1992-07-15,3,30-50cm,104
1992,1992-07-15,3,50+cm,43
1993,1993-10-27,1,0-30cm,157
1993,1993-10-27,1,30-50cm,309
1993,1993-10-27,1,50+cm,32
1993,1993-10-28,2,0-30cm,239
1993,1993-10-28,2,30-50cm,409
1993,1993-10-28,2,50+cm,36
1993,1993-10-29,3,0-30cm,270
1993,1993-10-29,3,30-50cm,561
1993,1993-10-29,3,50+cm,84
1994,1994-08-09,1,0-30cm,580
1994,1994-08-09,1,30-50cm,383
1994,1994-08-09,1,50+cm,83
1994,1994-08-10,2,0-30cm,893
1994,1994-08-10,2,30-50cm,529
1994,1994-08-10,2,50+cm,144
1994,1994-08-11,3,0-30cm,615
1994,1994-08-11,3,30-50cm,386
1994,1994-08-11,3,50+cm,92
1995,1995-07-18,1,0-30cm,200
1995,1995-07-18,1,30-50cm,197
1995,1995-07-18,1,50+cm,106
1995,1995-07-19,2,0-30cm,368
1995,1995-07-19,2,30-50cm,292
1995,1995-07-19,2,50+cm,125
1995,1995-07-20,3,0-30cm,321
1995,1995-07-20,3,30-50cm,166
1995,1995-07-20,3,50+cm,71
1996,1996-07-10,1,0-30cm,82
1996,1996-07-10,1,30-50cm,136
1996,1996-07-10,1,50+cm,52
1996,1996-07-11,2,0-30cm,104
1996,1996-07-11,2,30-50cm,337
1996,1996-07-11,2,50+cm,141
1996,1996-07-12,3,0-30cm,40
1996,1996-07-12,3,30-50cm,170
1996,1996-07-12,3,50+cm,82
1997,1997-07-28,1,0-30cm,406
1997,1997-07-28,1,30-50cm,286
1997,1997-07-28,1,50+cm,101
1997,1997-07-29,2,0-30cm,826
1997,1997-07-29,2,30-50cm,626
1997,1997-07-29,2,50+cm,217
1997,1997-07-30,3,0-30cm,355
1997,1997-07-30,3,30-50cm,356
1997,1997-07-30,3,50+cm,114
1998,1998-07-15,1,0-30cm,1267
1998,1998-07-15,1,30-50cm,517
1998,1998-07-15,1,50+cm,129
1998,1998-07-16,2,0-30cm,1344
1998,1998-07-16,2,30-50cm,561
1998,1998-07-16,2,50+cm,150
1998,1998-07-17,3,0-30cm,941
1998,1998-07-17,3,30-50cm,311
1998,1998-07-17,3,50+cm,96
1999,1999-07-21,1,0-30cm,213
1999,1999-07-21,1,30-50cm,285
1999,1999-07-21,1,50+cm,47
1999,1999-07-22,2,0-30cm,536
1999,1999-07-22,2,30-50cm,531
1999,1999-07-22,2,50+cm,88
1999,1999-07-23,3,0-30cm,211
1999,1999-07-23,3,30-50cm,373
1999,1999-07-23,3,50+cm,45
2000,2000-07-25,1,0-30cm,198
2000,2000-07-25,1,30-50cm,485
2000,2000-07-25,1,50+cm,63
2000,2000-07-26,2,0-30cm,386
2000,2000-07-26,2,30-50cm,762
2000,2000-07-26,2,50+cm,167
2000,2000-07-27,3,0-30cm,241
2000,2000-07-27,3,30-50cm,554
2000,2000-07-27,3,50+cm,102
2001,2001-07-17,1,0-30cm,222
2001,2001-07-17,1,30-50cm,282
2001,2001-07-17,1,50+cm,79
2001,2001-07-18,2,0-30cm,242
2001,2001-07-18,2,30-50cm,349
2001,2001-07-18,2,50+cm,197
2001,2001-07-19,3,0-30cm,170
2001,2001-07-19,3,30-50cm,345
2001,2001-07-19,3,50+cm,144
2002,2002-07-30,1,0-30cm,319
2002,2002-07-30,1,30-50cm,328
2002,2002-07-30,1,50+cm,91
2002,2002-07-31,2,0-30cm,990
2002,2002-07-31,2,30-50cm,552
2002,2002-07-31,2,50+cm,192
2002,2002-08-01,3,0-30cm,575
2002,2002-08-01,3,30-50cm,506
2002,2002-08-01,3,50+cm,122
2003,2003-07-16,1,0-30cm,534
2003,2003-07-16,1,30-50cm,598
2003,2003-07-16,1,50+cm,110
2003,2003-07-17,2,0-30cm,952
2003,2003-07-17,2,30-50cm,1138
2003,2003-07-17,2,50+cm,228
2003,2003-07-18,3,0-30cm,427
2003,2003-07-18,3,30-50cm,590
2003,2003-07-18,3,50+cm,122
2004,2004-07-14,1,0-30cm,442
2004,2004-07-14,1,30-50cm,494
2004,2004-07-14,1,50+cm,71
2004,2004-07-15,2,0-30cm,735
2004,2004-07-15,2,30-50cm,658
2004,2004-07-15,2,50+cm,119
2004,2004-07-16,3,0-30cm,461
2004,2004-07-16,3,30-50cm,630
2004,2004-07-16,3,50+cm,113
2005,2005-07-13,1,0-30cm,222
2005,2005-07-13,1,30-50cm,247
2005,2005-07-13,1,50+cm,48
2005,2005-07-14,2,0-30cm,326
2005,2005-07-14,2,30-50cm,351
2005,2005-07-14,2,50+cm,83
2005,2005-07-15,3,0-30cm,279
2005,2005-07-15,3,30-50cm,255
2005,2005-07-15,3,50+cm,47
2006,2006-07-18,1,0-30cm,386
2006,2006-07-18,1,30-50cm,382
2006,2006-07-18,1,50+cm,41
2006,2006-07-19,2,0-30cm,708
2006,2006-07-19,2,30-50cm,429
2006,2006-07-19,2,50+cm,77
2006,2006-07-20,3,0-30cm,399
2006,2006-07-20,3,30-50cm,317
2006,2006-07-20,3,50+cm,50
2007,2007-08-14,1,0-30cm,195
2007,2007-08-14,1,30-50cm,171
2007,2007-08-14,1,50+cm,20
2007,2007-08-15,2,0-30cm,385
2007,2007-08-15,2,30-50cm,269
2007,2007-08-15,2,50+cm,50
2007,2007-08-16,3,0-30cm,291
2007,2007-08-16,3,30-50cm,225
2007,2007-08-16,3,50+cm,36
2008,2008-07-23,1,0-30cm,503
2008,2008-07-23,1,30-50cm,359
2008,2008-07-23,1,50+cm,41
2008,2008-07-24,2,0-30cm,992
2008,2008-07-24,2,30-50cm,599
2008,2008-07-24,2,50+cm,121
2008,2008-07-25,3,0-30cm,1101
2008,2008-07-25,3,30-50cm,453
2008,2008-07-25,3,50+cm,94
2009,2009-07-15,1,0-30cm,349
2009,2009-07-15,1,30-50cm,350
2009,2009-07-15,1,50+cm,16
2009,2009-07-16,2,0-30cm,517
2009,2009-07-16,2,30-50cm,594
2009,2009-07-16,2,50+cm,43
2009,2009-07-17,3,0-30cm,414
2009,2009-07-17,3,30-50cm,343
2009,2009-07-17,3,50+cm,43
2010,2010-07-20,1,0-30cm,386
2010,2010-07-20,1,30-50cm,362
2010,2010-07-20,1,50+cm,20
2010,2010-07-21,2,0-30cm,526
2010,2010-07-21,2,30-50cm,607
2010,2010-07-21,2,50+cm,46
2010,2010-07-22,3,0-30cm,274
2010,2010-07-22,3,30-50cm,312
2010,2010-07-22,3,50+cm,28
2011,2011-07-27,1,0-30cm,264
2011,2011-07-27,1,30-50cm,224
2011,2011-07-27,1,50+cm,30
2011,2011-07-28,2,0-30cm,430
2011,2011-07-28,2,30-50cm,308
2011,2011-07-28,2,50+cm,76
2011,2011-07-29,3,0-30cm,274
2011,2011-07-29,3,30-50cm,312
2011,2011-07-29,3,50+cm,28
2012,2012-07-25,1,0-30cm,253
2012,2012-07-25,1,30-50cm,206
2012,2012-07-25,1,50+cm,54
2012,2012-07-26,2,0-30cm,381
2012,2012-07-26,2,30-50cm,305
2012,2012-07-26,2,50+cm,43
2012,2012-07-27,3,0-30cm,369
2012,2012-07-27,3,30-50cm,333
2012,2012-07-27,3,50+cm,42
2014,2014-07-30,1,0-30cm,411
2014,2014-07-30,1,30-50cm,278
2014,2014-07-30,1,50+cm,56
2014,2014-07-31,2,0-30cm,508
2014,2014-07-31,2,30-50cm,424
2014,2014-07-31,2,50+cm,72
2014,2014-08-01,3,0-30cm,293
2014,2014-08-01,3,30-50cm,336
2014,2014-08-01,3,50+cm,27
2015,2015-07-22,1,0-30cm,207
2015,2015-07-22,1,30-50cm,157
2015,2015-07-22,1,50+cm,26
2015,2015-07-23,2,0-30cm,465
2015,2015-07-23,2,30-50cm,307
2015,2015-07-23,2,50+cm,60
2015,2015-07-24,3,0-30cm,270
2015,2015-07-24,3,30-50cm,153
2015,2015-07-24,3,50+cm,45
2016,2016-07-13,1,0-30cm,288
2016,2016-07-13,1,30-50cm,215
2016,2016-07-13,1,50+cm,28
2016,2016-07-14,2,0-30cm,449
2016,2016-07-14,2,30-50cm,419
2016,2016-07-14,2,50+cm,62
2016,2016-07-15,3,0-30cm,265
2016,2016-07-15,3,30-50cm,296
2016,2016-07-15,3,50+cm,36
2017,2017-07-24,1,0-30cm,371
2017,2017-07-24,1,30-50cm,481
2017,2017-07-24,1,50+cm,19
2017,2017-07-25,2,0-30cm,361
2017,2017-07-25,2,30-50cm,380
2017,2017-07-25,2,50+cm,9
2017,2017-07-26,3,0-30cm,403
2017,2017-07-26,3,30-50cm,464
2017,2017-07-26,3,50+cm,9
2018,2018-07-30,1,0-30cm,171
2018,2018-07-30,1,30-50cm,251
2018,2018-07-30,1,50+cm,14
2018,2018-07-31,2,0-30cm,543
2018,2018-07-31,2,30-50cm,463
2018,2018-07-31,2,50+cm,20
2019,2019-07-16,1,0-30cm,100
2019,2019-07-16,1,30-50cm,181
2019,2019-07-16,1,50+cm,27
2019,2019-07-17,2,0-30cm,261
2019,2019-07-17,2,30-50cm,372
2019,2019-07-17,2,50+cm,28
2019,2019-07-18,3,0-30cm,107
2019,2019-07-18,3,30-50cm,168
2019,2019-07-18,3,50+cm,35
2020,2020-07-29,1,0-30cm,132
2020,2020-07-29,1,30-50cm,182
2020,2020-07-29,1,50+cm,11
2020,2020-07-30,2,0-30cm,249
2020,2020-07-30,2,30-50cm,331
2020,2020-07-30,2,50+cm,18
2021,2021-07-20,1,0-30cm,94
2021,2021-07-20,1,30-50cm,162
2021,2021-07-20,1,50+cm,10
2021,2021-07-21,2,0-30cm,224
2021,2021-07-21,2,30-50cm,293
2021,2021-07-21,2,50+cm,23
2021,2021-07-22,3,0-30cm,118
2021,2021-07-22,3,30-50cm,181
2021,2021-07-22,3,50+cm,24
2022,2022-08-08,1,0-30cm,157
2022,2022-08-08,1,30-50cm,194
2022,2022-08-08,1,50+cm,10
2022,2022-08-09,2,0-30cm,247
2022,2022-08-09,2,30-50cm,367
2022,2022-08-09,2,50+cm,16
2022,2022-08-10,3,0-30cm,133
2022,2022-08-10,3,30-50cm,214
2022,2022-08-10,3,50+cm,13
